,Player,Division,Conference,Power5,School,Drafted?,position_pick_number,G,Rec,Rec Yds,Rec TD,Rec Yds/Rec,Rec Yds/G,Rec TD/G
248,Ryan Izzo,FBS,ACC,Y,Florida St.,Y,15.0,26,39,544,4,13.9,20.9,0.2
249,Ryan Miller,FCS,SoCon,N,Furman,N,Undrafted,31,130,1765,25,13.6,56.9,0.8
250,Sam LaPorta,FBS,Big Ten,Y,Iowa,Y,2.0,26,111,1327,4,12.0,51.0,0.2
251,Scott Orndoff,FBS,ACC,Y,Pittsburgh,N,Undrafted,13,35,579,5,16.5,44.5,0.4
252,Sean Dykes,FBS,AAC,N,Memphis,N,Undrafted,23,95,1238,14,13.0,53.8,0.6
253,Seth DeValve,FCS,Ivy League,N,Princeton,N,Undrafted,9,49,527,4,10.8,58.6,0.4
254,Seydou Traore,FBS,Sun Belt,N,Arkansas St.,N,Undrafted,12,50,655,4,13.1,54.6,0.3
255,Stephen Anderson,FBS,Pac-12,Y,California,N,Undrafted,10,46,661,5,14.4,66.1,0.5
256,Stephen Sullivan,FBS,SEC,Y,LSU,Y,12.0,41,46,712,3,15.5,17.4,0.1
257,Steven Scheu,FBS,SEC,Y,Vanderbilt,N,Undrafted,12,39,525,4,13.5,43.8,0.3
258,T.J. Hockenson,FBS,Big Ten,Y,Iowa,Y,1.0,13,49,760,6,15.5,58.5,0.5
259,Tanner McLachlan,FBS,Pac-12,Y,Arizona,Y,10.0,25,79,984,6,12.5,39.4,0.2
260,Teagan Quitoriano,FBS,Pac-12,Y,Oregon St.,Y,12.0,32,38,742,6,19.5,23.2,0.2
261,Ted Bolser,FBS,Big Ten,Y,Indiana,Y,9.0,12,35,320,6,9.1,26.7,0.5
262,Temarrick Hemingway,FCS,MEAC,N,South Carolina St.,Y,6.0,23,45,484,5,10.8,21.0,0.2
263,Terry Pettis,FBS,CUSA,N,Middle Tenn.,N,Undrafted,13,29,612,4,21.1,47.1,0.3
264,Thaddeus Moss,FBS,SEC,Y,LSU,N,Undrafted,14,47,570,4,12.1,40.7,0.3
265,Theo Johnson,FBS,Big Ten,Y,Penn St.,Y,5.0,44,77,938,12,12.2,21.3,0.3
266,Thomas Duarte,FBS,Pac-12,Y,UCLA,Y,9.0,25,81,1412,14,17.4,56.5,0.6
267,Thomas Greaney,FCS,CAA,N,UAlbany,N,Undrafted,11,50,693,9,13.9,63.0,0.8
268,Tip Reiman,FBS,Big Ten,Y,Illinois,Y,3.0,37,41,420,5,10.2,11.4,0.1
269,Tommy Sweeney,FBS,ACC,Y,Boston College,Y,14.0,38,94,1213,10,12.9,31.9,0.3
270,Tommy Tremble,FBS,FBS Independent,N,Notre Dame,Y,4.0,25,35,396,4,11.3,15.8,0.2
271,Tony Poljan,FBS,ACC,Y,Virginia,N,Undrafted,10,38,411,6,10.8,41.1,0.6
272,Trae Barry,FCS,OVC,N,Jacksonville St.,N,Undrafted,22,65,1037,2,16.0,47.1,0.1
273,Tre' McKitty,FBS,SEC,Y,Georgia,Y,5.0,31,55,605,3,11.0,19.5,0.1
274,Trevon Wesco,FBS,Big 12,Y,West Virginia,Y,9.0,12,26,366,1,14.1,30.5,0.1
275,Trey Huelskamp,FCS,Pioneer,N,Davidson,N,Undrafted,12,48,471,2,9.8,39.2,0.2
276,Trey McBride,FBS,Mountain West,N,Colorado St.,Y,1.0,24,135,1681,5,12.5,70.0,0.2
277,Troy Fumagalli,FBS,Big Ten,Y,Wisconsin,Y,11.0,27,93,1127,6,12.1,41.7,0.2
278,Troy Niklas,FBS,FBS Independent,N,Notre Dame,Y,4.0,13,32,498,5,15.6,38.3,0.4
279,Tucker Kraft,FCS,MVFC,N,South Dakota St.,Y,7.0,15,65,773,6,11.9,51.5,0.4
280,Tyler Conklin,FBS,MAC,N,Central Mich.,Y,12.0,13,42,560,6,13.3,43.1,0.5
281,Tyler Davis,FBS,ACC,Y,Georgia Tech,Y,11.0,24,39,385,7,9.9,16.0,0.3
282,Tyler Higbee,FBS,CUSA,N,Western Ky.,Y,4.0,9,38,563,8,14.8,62.6,0.9
283,Tyler Kroft,FBS,AAC,N,Rutgers,Y,4.0,13,43,573,4,13.3,44.1,0.3
284,Tyler Wilhelm,FCS,MVFC,N,South Dakota,N,Undrafted,12,22,336,0,15.3,28.0,0.0
285,Tyreese Russell,FBS,MAC,N,Eastern Mich.,N,Undrafted,12,44,594,3,13.5,49.5,0.2
286,Wes Saxton,FBS,Sun Belt,N,South Alabama,N,Undrafted,12,50,635,0,12.7,52.9,0.0
287,Wesley Preece,FCS,Big Sky,N,UC Davis,N,Undrafted,10,36,568,9,15.8,56.8,0.9
288,Will Dissly,FBS,Pac-12,Y,Washington,Y,8.0,13,21,289,2,13.8,22.2,0.2
289,Will Mallory,FBS,ACC,Y,Miami (FL),Y,11.0,48,110,1507,13,13.7,31.4,0.3
290,Will Tye,FCS,CAA,N,Stony Brook,N,Undrafted,23,79,1015,9,12.8,44.1,0.4
291,Xavier Gaines,FBS,CUSA,N,Marshall,N,Undrafted,10,28,404,4,14.4,40.4,0.4
292,Zach Gentry,FBS,Big Ten,Y,Michigan,Y,11.0,13,32,514,2,16.1,39.5,0.2
293,Zack Kuntz,FBS,CUSA,N,Old Dominion,Y,14.0,13,73,692,5,9.5,53.2,0.4
294,Zack Wolfe,FCS,Pioneer,N,Butler,N,Undrafted,13,17,269,3,15.8,20.7,0.2
295,Zane Fakes,FBS,MAC,N,Ball St.,N,Undrafted,13,41,410,2,10.0,31.5,0.2
