,Player,Division,Conference,Power5,School,Drafted?,position_pick_number,G,Rec,Rec Yds,Rec TD,Rec Yds/Rec,Rec Yds/G,Rec TD/G
565,Darryl Clack,FCS,OVC,N,Austin Peay,N,Undrafted,12,28,398,2,14.2,33.2,0.2
566,Darryl Denby,FCS,Big Sky,N,Weber St.,N,Undrafted,23,86,1095,12,12.7,47.6,0.5
567,Darryl Powell Jr.,FCS,NEC,N,Duquesne,N,Undrafted,12,34,713,9,21.0,59.4,0.8
568,Darryl Surgent,FBS,Sun Belt,N,Louisiana,N,Undrafted,13,31,400,5,12.9,30.8,0.4
569,Daryle Hawkins,FBS,Pac-12,Y,Oregon,N,Undrafted,12,23,347,3,15.1,28.9,0.2
570,Dashawn Davis,FCS,Big South,N,Presbyterian,N,Undrafted,21,93,1047,10,11.3,49.9,0.5
571,Datrin Guyton,FBS,MAC,N,Bowling Green,N,Undrafted,12,31,585,2,18.9,48.8,0.2
572,Daurice Fountain,FCS,MVFC,N,UNI,Y,17.0,27,107,1547,17,14.5,57.3,0.6
573,Davante Adams,FBS,Mountain West,N,Fresno St.,Y,9.0,13,131,1718,24,13.1,132.2,1.8
574,Davaris Daniels,FBS,FBS Independent,N,Notre Dame,N,Undrafted,13,49,745,7,15.2,57.3,0.5
575,Dave Russell III,FCS,OVC,N,Jacksonville St.,N,Undrafted,13,26,352,3,13.5,27.1,0.2
576,David Ames,FCS,Big Sky,N,Weber St.,N,Undrafted,15,55,659,3,12.0,43.9,0.2
577,David Bell,FBS,Big Ten,Y,Purdue,Y,16.0,29,232,2946,21,12.7,101.6,0.7
578,David Durden,FCS,SoCon,N,Mercer,N,Undrafted,9,45,647,4,14.4,71.9,0.4
579,David Eldridge,FCS,CAA,N,James Madison,N,Undrafted,15,42,533,4,12.7,35.5,0.3
580,David Frazier,FBS,MAC,N,Miami (OH),N,Undrafted,12,59,949,5,16.1,79.1,0.4
581,David Glidden,FBS,Big 12,Y,Oklahoma St.,N,Undrafted,26,99,1464,5,14.8,56.3,0.2
582,David Pantelis,FCS,Ivy League,N,Yale,N,Undrafted,10,39,518,2,13.3,51.8,0.2
583,David Porter,FBS,Big 12,Y,TCU,N,Undrafted,12,26,435,5,16.7,36.2,0.4
584,David Robinson,FCS,Southland,N,Nicholls,N,Undrafted,11,32,521,4,16.3,47.4,0.4
585,David Sills,FBS,Big 12,Y,West Virginia,N,Undrafted,13,60,980,18,16.3,75.4,1.4
586,David Sills V,FBS,Big 12,Y,West Virginia,N,Undrafted,12,65,986,15,15.2,82.2,1.2
587,David Thomas,FCS,NEC,N,Duquesne,N,Undrafted,11,49,592,1,12.1,53.8,0.1
588,David Ungerer,FCS,Big Sky,N,Idaho,N,Undrafted,11,69,697,4,10.1,63.4,0.4
589,David White,FCS,SoCon,N,Western Caro.,N,Undrafted,10,34,519,6,15.3,51.9,0.6
590,David Zorrilla,FCS,NEC,N,Bryant,N,Undrafted,10,47,623,2,13.3,62.3,0.2
591,Davie Henderson,FCS,NEC,N,Duquesne,N,Undrafted,5,22,282,0,12.8,56.4,0.0
592,Davion Davis,FCS,Southland,N,Sam Houston,N,Undrafted,27,134,2166,27,16.2,80.2,1.0
593,Davis Koetter,FCS,Big Sky,N,Portland St.,N,Undrafted,12,38,626,8,16.5,52.2,0.7
594,Davon Grayson,FBS,AAC,N,East Carolina,N,Undrafted,11,59,886,6,15.0,80.5,0.5
595,Davon Wells,FCS,NEC,N,LIU,N,Undrafted,11,38,636,4,16.7,57.8,0.4
596,Davontavean Martin,FBS,Pac-12,Y,Washington St.,N,Undrafted,13,69,685,8,9.9,52.7,0.6
597,Davonte Allen,FBS,CUSA,N,Marshall,N,Undrafted,13,58,715,5,12.3,55.0,0.4
598,Dawan Scott,FBS,MAC,N,Miami (OH),N,Undrafted,11,28,425,2,15.2,38.6,0.2
599,Dawson Snyder,FCS,NEC,N,Saint Francis (PA),N,Undrafted,22,81,1476,9,18.2,67.1,0.4
600,Dax Milne,FBS,FBS Independent,N,BYU,Y,33.0,12,70,1188,8,17.0,99.0,0.7
601,Daylen Baldwin,FCS,SWAC,N,Jackson St.,N,Undrafted,6,27,540,7,20.0,90.0,1.2
602,Dayron Johnson,FCS,OVC,N,Tennessee St.,N,Undrafted,7,18,263,0,14.6,37.6,0.0
603,Dayton Wade,FBS,SEC,Y,Ole Miss,N,Undrafted,13,55,830,4,15.1,63.8,0.3
604,Dazz Newsome,FBS,ACC,Y,North Carolina,Y,29.0,24,126,1702,16,13.5,70.9,0.7
605,De'Corian Clark,FBS,CUSA,N,UTSA,N,Undrafted,23,103,1496,15,14.5,65.0,0.7
606,De'Mornay Pierson-El,FBS,Big Ten,Y,Nebraska,N,Undrafted,12,45,623,5,13.8,51.9,0.4
607,De'Mun Mercer,FCS,Big Sky,N,North Dakota,N,Undrafted,21,64,1061,5,16.6,50.5,0.2
608,De'Runnya Wilson,FBS,SEC,Y,Mississippi St.,N,Undrafted,38,133,1949,22,14.7,51.3,0.6
609,De'Zhaun Stribling,FBS,Pac-12,Y,Washington St.,N,Undrafted,12,51,602,5,11.8,50.2,0.4
610,DeAndre Smelter,FBS,ACC,Y,Georgia Tech,Y,17.0,25,56,1060,11,18.9,42.4,0.4
611,DeAngelo Wilson,FCS,OVC,N,Austin Peay,N,Undrafted,23,133,2183,18,16.4,94.9,0.8
612,DeAngelo Yancey,FBS,Big Ten,Y,Purdue,Y,25.0,35,129,2197,17,17.0,62.8,0.5
613,DeMeer Blankumsee,FBS,AAC,N,Memphis,N,Undrafted,13,53,901,7,17.0,69.3,0.5
614,DeQuan Dallas,FCS,OVC,N,Murray St.,N,Undrafted,7,13,289,4,22.2,41.3,0.6
615,DeVante Parker,FBS,AAC,N,Louisville,Y,3.0,12,55,885,12,16.1,73.8,1.0
616,DeVonta Smith,FBS,SEC,Y,Alabama,Y,3.0,26,185,3112,37,16.8,119.7,1.4
617,DeVonte Adams,FCS,Pioneer,N,Morehead St.,N,Undrafted,11,49,542,6,11.1,49.3,0.5
618,DeVonte Tanksley,FCS,OVC,N,UT Martin,N,Undrafted,11,54,698,4,12.9,63.5,0.4
619,Deandre Carter,FCS,Big Sky,N,Sacramento St.,N,Undrafted,23,163,2255,31,13.8,98.0,1.3
620,Deandre Cooper,FCS,SWAC,N,Prairie View,N,Undrafted,12,80,1028,12,12.8,85.7,1.0
621,Deandre Reaves,FBS,CUSA,N,Marshall,N,Undrafted,13,56,705,4,12.6,54.2,0.3
622,Deandre Sangster,FCS,MEAC,N,Norfolk St.,N,Undrafted,21,64,904,4,14.1,43.0,0.2
623,Deandre' Smith,FCS,CAA,N,James Madison,N,Undrafted,13,39,547,8,14.0,42.1,0.6
624,Deandrew White,FBS,SEC,Y,Alabama,N,Undrafted,13,32,534,4,16.7,41.1,0.3
625,Deangelo Antoine,FBS,CUSA,N,Fla. Atlantic,N,Undrafted,13,61,771,5,12.6,59.3,0.4
626,Dede Westbrook,FBS,Big 12,Y,Oklahoma,Y,15.0,26,126,2267,21,18.0,87.2,0.8
627,Dedric Shipman,FCS,SWAC,N,Texas Southern,N,Undrafted,11,40,556,2,13.9,50.5,0.2
628,Dee Bowens,FCS,Southland,N,Sam Houston,N,Undrafted,10,31,528,3,17.0,52.8,0.3
629,Deebo Samuel,FBS,SEC,Y,South Carolina,Y,3.0,22,121,1665,12,13.8,75.7,0.5
630,Deion Burks,FBS,Big Ten,Y,Purdue,N,Undrafted,12,47,629,7,13.4,52.4,0.6
631,Deion McShane,FCS,MVFC,N,UNI,N,Undrafted,18,54,834,2,15.4,46.3,0.1
632,Dejon Brissett,FCS,CAA,N,Richmond,N,Undrafted,11,63,896,7,14.2,81.5,0.6
633,Dejuan Miller,FCS,SWAC,N,Ark.-Pine Bluff,N,Undrafted,22,98,1560,13,15.9,70.9,0.6
634,Dejzon Walker,FCS,Big Sky,N,Northern Ariz.,N,Undrafted,11,37,551,6,14.9,50.1,0.5
635,Demarcus Ayers,FBS,AAC,N,Houston,Y,24.0,14,98,1222,6,12.5,87.3,0.4
636,Demarcus Robinson,FBS,SEC,Y,Florida,Y,13.0,12,54,821,7,15.2,68.4,0.6
637,Demario Bell,FCS,SWAC,N,Alabama St.,N,Undrafted,22,58,1219,7,21.0,55.4,0.3
638,Demario Bennett,FCS,Big South,N,Coastal Carolina,N,Undrafted,15,40,668,5,16.7,44.5,0.3
639,Demario Douglas,FBS,FBS Independent,N,Liberty,Y,26.0,25,131,1694,12,12.9,67.8,0.5
640,Demario Ross,FCS,SWAC,N,Alabama A&M,N,Undrafted,11,17,333,3,19.6,30.3,0.3
641,Demetric Felton,FBS,Pac-12,Y,UCLA,N,Undrafted,12,55,594,4,10.8,49.5,0.3
642,Demetris Robertson,FBS,Pac-12,Y,California,N,Undrafted,12,50,767,7,15.3,63.9,0.6
643,Demetrius Dixon,FCS,Patriot,N,Lafayette,N,Undrafted,12,35,405,3,11.6,33.8,0.2
644,Demitri Allison,FCS,CAA,N,Elon,N,Undrafted,12,55,525,2,9.5,43.8,0.2
645,Demitri Knowles,FBS,ACC,Y,Virginia Tech,N,Undrafted,13,45,641,3,14.2,49.3,0.2
646,Demon Bolt,FCS,Southland,N,Nicholls,N,Undrafted,10,31,499,2,16.1,49.9,0.2
647,Demory Lawshe,FCS,MVFC,N,Indiana St.,N,Undrafted,12,16,324,3,20.2,27.0,0.2
648,Dennis Houston,FCS,MVFC,N,Western Ill.,N,Undrafted,17,133,1492,8,11.2,87.8,0.5
649,Dennis Parks,FBS,CUSA,N,Rice,N,Undrafted,13,29,508,3,17.5,39.1,0.2
650,Dennis Rowe,FCS,MEAC,N,South Carolina St.,N,Undrafted,13,18,337,4,18.7,25.9,0.3
651,Denzel Mims,FBS,Big 12,Y,Baylor,Y,13.0,38,182,2901,28,15.9,76.3,0.7
652,Denzell Jones,FCS,NEC,N,Central Conn. St.,N,Undrafted,12,29,401,4,13.8,33.4,0.3
653,Deon Cain,FBS,ACC,Y,Clemson,Y,21.0,42,130,2040,20,15.7,48.6,0.5
654,Deon Long,FBS,Big Ten,Y,Maryland,N,Undrafted,20,83,1064,3,12.8,53.2,0.2
655,Deon Randall,FCS,Ivy League,N,Yale,N,Undrafted,20,158,1717,14,10.9,85.8,0.7
656,Deondre Douglas,FBS,Sun Belt,N,Troy,N,Undrafted,26,108,1368,10,12.7,52.6,0.4
657,Deontay Burnett,FBS,Pac-12,Y,Southern California,N,Undrafted,27,142,1736,16,12.2,64.3,0.6
658,Deontay Greenberry,FBS,AAC,N,Houston,N,Undrafted,25,154,2043,17,13.3,81.7,0.7
659,Deonte Simpson,FBS,CUSA,N,North Texas,N,Undrafted,8,25,517,4,20.7,64.6,0.5
660,Deonte Swinton,FCS,Big South,N,Gardner-Webb,N,Undrafted,24,63,774,3,12.3,32.2,0.1
661,Dequece Carter,FCS,Patriot,N,Fordham,N,Undrafted,38,176,3035,31,17.2,79.9,0.8
662,Der'Rikk Thompson,FBS,AAC,N,SMU,N,Undrafted,9,32,459,2,14.3,51.0,0.2
663,Derek Knott,FCS,Patriot,N,Lehigh,N,Undrafted,12,60,767,3,12.8,63.9,0.2
664,Derek Morton,FCS,SWAC,N,Texas Southern,N,Undrafted,10,36,571,1,15.9,57.1,0.1
665,Derek O'Connor,FCS,Pioneer,N,Butler,N,Undrafted,11,64,744,5,11.6,67.6,0.5
666,Derek Wright,FBS,Mountain West,N,Utah St.,N,Undrafted,14,48,789,11,16.4,56.4,0.8
667,Derel Walker,FBS,SEC,Y,Texas A&M,N,Undrafted,13,51,818,5,16.0,62.9,0.4
668,Derrick Engel,FBS,Big Ten,Y,Minnesota,N,Undrafted,10,25,401,5,16.0,40.1,0.5
669,Derrick Griffin,FCS,SWAC,N,Texas Southern,N,Undrafted,10,36,709,11,19.7,70.9,1.1
670,Derrick Johnson,FCS,CAA,N,Maine,N,Undrafted,13,60,608,2,10.1,46.8,0.2
671,Derrick Joseph,FCS,CAA,N,Towson,N,Undrafted,16,36,379,1,10.5,23.7,0.1
672,Derwin Burgess Jr.,FBS,Sun Belt,N,Ga. Southern,N,Undrafted,23,132,1530,13,11.6,66.5,0.6
673,Deshaunte Jones,FBS,Big 12,Y,Iowa St.,N,Undrafted,13,76,877,2,11.5,67.5,0.2
674,Deshon Foxx,FBS,AAC,N,UConn,N,Undrafted,12,43,534,2,12.4,44.5,0.2
675,Deshon Stoudemire,FBS,Sun Belt,N,Troy,N,Undrafted,14,43,569,1,13.2,40.6,0.1
676,Desmond Lawrence,FCS,MEAC,N,N.C. A&T,N,Undrafted,11,37,403,3,10.9,36.6,0.3
677,Desmond Smith,FCS,Southland,N,Central Ark.,N,Undrafted,48,226,2828,20,12.5,58.9,0.4
678,Dev Holmes,FCS,CAA,N,UAlbany,N,Undrafted,11,50,734,5,14.7,66.7,0.5
679,Devante Davis,FBS,Mountain West,N,UNLV,N,Undrafted,13,87,1290,14,14.8,99.2,1.1
680,Devante Scott,FCS,Southland,N,Southeastern La.,N,Undrafted,13,50,1064,6,21.3,81.8,0.5
681,Devaughn Vele,FBS,Pac-12,Y,Utah,Y,33.0,24,98,1288,8,13.1,53.7,0.3
682,Deven Thompkins,FBS,Mountain West,N,Utah St.,N,Undrafted,14,102,1704,10,16.7,121.7,0.7
683,Devin Borders,FCS,OVC,N,Eastern Ky.,N,Undrafted,36,120,1781,17,14.8,49.5,0.5
684,Devin Carter,FBS,ACC,Y,NC State,N,Undrafted,24,60,1033,8,17.2,43.0,0.3
685,Devin Cates,FCS,Pioneer,N,Drake,N,Undrafted,11,45,570,4,12.7,51.8,0.4
686,Devin Clarke,FBS,CUSA,N,Middle Tenn.,N,Undrafted,12,18,318,0,17.7,26.5,0.0
687,Devin Duvernay,FBS,Big 12,Y,Texas,Y,16.0,27,147,1932,13,13.1,71.6,0.5
688,Devin Fosselman,FCS,SWAC,N,Jackson St.,N,Undrafted,11,58,872,5,15.0,79.3,0.5
689,Devin Fuller,FBS,Pac-12,Y,UCLA,Y,26.0,12,43,471,4,11.0,39.2,0.3
690,Devin Funchess,FBS,Big Ten,Y,Michigan,N,Undrafted,11,62,733,4,11.8,66.6,0.4
691,Devin Gray,FBS,AAC,N,Cincinnati,N,Undrafted,12,58,860,5,14.8,71.7,0.4
692,Devin Lauderdale,FBS,Big 12,Y,Texas Tech,N,Undrafted,23,74,1228,11,16.6,53.4,0.5
693,Devin Lucien,FBS,Pac-12,Y,Arizona St.,Y,23.0,25,85,1414,10,16.6,56.6,0.4
694,Devin Maddox,FBS,MAC,N,Toledo,N,Undrafted,26,80,1115,7,13.9,42.9,0.3
695,Devin Rahming,FCS,NEC,N,Duquesne,N,Undrafted,21,103,1122,7,10.9,53.4,0.3
696,Devin Ross,FBS,Pac-12,Y,Colorado,N,Undrafted,14,69,787,5,11.4,56.2,0.4
697,Devin Smith,FCS,MEAC,N,N.C. Central,Y,7.0,52,155,2807,31,18.1,54.0,0.6
698,Devin Street,FBS,ACC,Y,Pittsburgh,Y,22.0,10,51,854,7,16.7,85.4,0.7
699,Devin Voisin,FBS,Sun Belt,N,South Alabama,N,Undrafted,13,64,867,5,13.5,66.7,0.4
700,Devin Wilson,FCS,OVC,N,Tennessee St.,N,Undrafted,11,26,265,0,10.2,24.1,0.0
701,Devin Young,FCS,CAA,N,Maine,N,Undrafted,23,95,1178,7,12.4,51.2,0.3
702,Devon Allen,FBS,Pac-12,Y,Oregon,N,Undrafted,14,41,684,7,16.7,48.9,0.5
703,Devon Bibbens,FCS,Patriot,N,Lehigh,N,Undrafted,22,100,1435,9,14.4,65.2,0.4
704,Devon Blackmon,FBS,FBS Independent,N,BYU,N,Undrafted,13,46,669,0,14.5,51.5,0.0
705,Devon Cajuste,FBS,Pac-12,Y,Stanford,N,Undrafted,24,62,1199,11,19.3,50.0,0.5
706,Devon Cooley,FCS,Big Sky,N,Weber St.,N,Undrafted,15,59,733,5,12.4,48.9,0.3
707,Devon Johnson,FCS,OVC,N,Tennessee St.,N,Undrafted,9,30,543,6,18.1,60.3,0.7
708,Devon Smith,FBS,CUSA,N,Marshall,N,Undrafted,14,39,653,4,16.7,46.6,0.3
709,Devon Williams,FBS,Pac-12,Y,Oregon,N,Undrafted,12,35,557,4,15.9,46.4,0.3
710,Devonn Brown,FCS,Southland,N,Lamar University,N,Undrafted,11,26,514,5,19.8,46.7,0.5
711,Devonta Smith,FBS,SEC,Y,Alabama,N,Undrafted,14,42,693,6,16.5,49.5,0.4
712,Devonte Boyd,FBS,Mountain West,N,UNLV,N,Undrafted,47,198,3242,18,16.4,69.0,0.4
713,Devonte Dedmon,FCS,CAA,N,William & Mary,N,Undrafted,31,126,1726,19,13.7,55.7,0.6
714,Devonte Tanksley,FCS,OVC,N,UT Martin,N,Undrafted,10,53,653,1,12.3,65.3,0.1
715,Devontez Walker,FBS,ACC,Y,North Carolina,Y,19.0,20,99,1620,18,16.4,81.0,0.9
716,Devron Harper,FCS,SoCon,N,Mercer,N,Undrafted,36,186,2189,16,11.8,60.8,0.4
717,Dewayne Cooks Jr,FCS,OVC,N,Eastern Ill.,N,Undrafted,5,15,241,1,16.1,48.2,0.2
718,Dexter Bryant,FCS,SWAC,N,Ark.-Pine Bluff,N,Undrafted,10,25,300,1,12.0,30.0,0.1
719,Dez Fitzpatrick,FBS,ACC,Y,Louisville,Y,16.0,37,123,2167,18,17.6,58.6,0.5
720,Dezmin Lewis,FCS,Southland,N,Central Ark.,Y,28.0,23,114,1666,16,14.6,72.4,0.7
721,Dezmon Epps,FBS,Sun Belt,N,Idaho,N,Undrafted,18,140,1737,6,12.4,96.5,0.3
722,Dezmon Patmon,FBS,Pac-12,Y,Washington St.,Y,31.0,26,119,1578,13,13.3,60.7,0.5
723,Dezmond Beverly,FCS,SWAC,N,Ark.-Pine Bluff,N,Undrafted,11,57,740,0,13.0,67.3,0.0
724,Dijon Paschal,FBS,Sun Belt,N,Arkansas St.,N,Undrafted,13,37,642,4,17.4,49.4,0.3
725,Dillon Mitchell,FBS,Pac-12,Y,Oregon,Y,25.0,13,75,1184,10,15.8,91.1,0.8
726,Dillon Stoner,FBS,Big 12,Y,Oklahoma St.,N,Undrafted,48,186,2351,17,12.6,49.0,0.4
727,Dimetrios Mason,FBS,SEC,Y,Missouri,N,Undrafted,11,47,587,3,12.5,53.4,0.3
728,Dimitri Stimphil,FCS,Big Sky,N,Northern Colo.,N,Undrafted,22,123,1872,13,15.2,85.1,0.6
729,Diontae Johnson,FBS,MAC,N,Toledo,Y,9.0,27,123,2039,21,16.6,75.5,0.8
730,Diontae Spencer,FCS,Southland,N,McNeese,N,Undrafted,13,50,835,9,16.7,64.2,0.7
731,Dominic Kibby,FCS,Pioneer,N,Presbyterian,N,Undrafted,22,85,1572,11,18.5,71.5,0.5
732,Dominic Lovett,FBS,SEC,Y,Georgia,N,Undrafted,26,110,1459,7,13.3,56.1,0.3
733,Dominic Lyles,FCS,Patriot,N,Bucknell,N,Undrafted,14,67,870,3,13.0,62.1,0.2
734,Dominic Rufran,FBS,Mountain West,N,Wyoming,N,Undrafted,24,120,1556,8,13.0,64.8,0.3
735,Dominique Leake,FCS,SWAC,N,Grambling,N,Undrafted,12,31,534,6,17.2,44.5,0.5
736,Dominique Williams,FBS,Pac-12,Y,Washington St.,N,Undrafted,38,158,2343,27,14.8,61.7,0.7
737,Dominque Sullivan,FBS,CUSA,N,Southern Miss.,N,Undrafted,12,23,350,3,15.2,29.2,0.2
738,Domo Taylor,FCS,CAA,N,James Madison,N,Undrafted,15,36,594,3,16.5,39.6,0.2
739,Donald Gray,FBS,SEC,Y,Mississippi St.,N,Undrafted,13,41,709,5,17.3,54.5,0.4
740,Donaven McCulley,FBS,Big Ten,Y,Indiana,N,Undrafted,12,48,644,6,13.4,53.7,0.5
741,Donavon Greene,FBS,ACC,Y,Wake Forest,N,Undrafted,21,66,1224,8,18.5,58.3,0.4
742,Doni Dowling,FBS,ACC,Y,Virginia,N,Undrafted,25,100,1273,9,12.7,50.9,0.4
743,Donnell Williams,FCS,OVC,N,UT Martin,N,Undrafted,6,29,445,3,15.3,74.2,0.5
744,Donnie Corley,FCS,SWAC,N,Texas Southern,N,Undrafted,11,72,1039,3,14.4,94.5,0.3
745,Donny Navarro,FCS,Pioneer,N,Valparaiso,N,Undrafted,11,32,539,5,16.8,49.0,0.5
746,Donovan Harden,FBS,Sun Belt,N,Georgia St.,N,Undrafted,22,99,1610,12,16.3,73.2,0.5
747,Donovan Peoples-Jones,FBS,Big Ten,Y,Michigan,Y,27.0,13,47,612,8,13.0,47.1,0.6
748,Dontario Drummond,FBS,SEC,Y,Ole Miss,N,Undrafted,22,101,1445,15,14.3,65.7,0.7
749,Dontay Demus,FBS,Big Ten,Y,Maryland,N,Undrafted,12,41,625,6,15.2,52.1,0.5
750,Dontayvion Wicks,FBS,ACC,Y,Virginia,Y,17.0,12,57,1203,9,21.1,100.2,0.8
751,Dontaze Costly,FCS,Southland,N,Nicholls,N,Undrafted,7,13,280,6,21.5,40.0,0.9
752,Donte Foster,FBS,MAC,N,Ohio,N,Undrafted,13,69,1018,7,14.8,78.3,0.5
753,Donte Moncrief,FBS,SEC,Y,Ole Miss,Y,14.0,13,59,938,6,15.9,72.2,0.5
754,Dontez Byrd,FCS,OVC,N,Tennessee Tech,N,Undrafted,22,152,1936,13,12.7,88.0,0.6
755,Dorial Green-Beckham,FBS,SEC,Y,Missouri,Y,8.0,14,59,883,12,15.0,63.1,0.9
756,Dorian Baker,FBS,SEC,Y,Kentucky,N,Undrafted,12,55,608,3,11.1,50.7,0.2
757,Dorian Buford,FCS,MVFC,N,Missouri St.,N,Undrafted,12,33,504,3,15.3,42.0,0.2
758,Dorian Singer,FBS,Pac-12,Y,Arizona,N,Undrafted,12,66,1105,6,16.7,92.1,0.5
759,Doug Burton,FCS,SoCon,N,VMI,N,Undrafted,24,63,903,5,14.3,37.6,0.2
760,Drae McCray,FCS,ASUN,N,Austin Peay,N,Undrafted,22,129,1888,17,14.6,85.8,0.8
761,Drake London,FBS,Pac-12,Y,Southern California,Y,1.0,27,160,2153,15,13.5,79.7,0.6
762,Drake Stoops,FBS,Big 12,Y,Oklahoma,N,Undrafted,13,84,962,10,11.5,74.0,0.8
763,Dredrick Snelson,FBS,AAC,N,UCF,N,Undrafted,25,89,1383,13,15.5,55.3,0.5
764,Dres Anderson,FBS,Pac-12,Y,Utah,N,Undrafted,12,53,1002,7,18.9,83.5,0.6
765,Drew Batchelor,FCS,Big Sky,N,Weber St.,N,Undrafted,13,51,628,9,12.3,48.3,0.7
766,Drew Estrada,FCS,Ivy League,N,Dartmouth,N,Undrafted,10,51,827,8,16.2,82.7,0.8
767,Drew Morgan,FBS,SEC,Y,Arkansas,N,Undrafted,26,128,1582,13,12.4,60.8,0.5
768,Drew Wolitarsky,FBS,Big Ten,Y,Minnesota,N,Undrafted,13,66,860,5,13.0,66.2,0.4
769,Dri Archer,FBS,MAC,N,Kent St.,Y,15.0,10,25,327,4,13.1,32.7,0.4
770,Duane Mitchell,FCS,NEC,N,Robert Morris,N,Undrafted,22,106,1411,11,13.3,64.1,0.5
771,Duece Watts,FBS,AAC,N,Tulane,N,Undrafted,26,64,1169,14,18.3,45.0,0.5
772,Dustin Creel,FBS,MAC,N,Eastern Mich.,N,Undrafted,12,46,593,5,12.9,49.4,0.4
773,Dwayne Menders,FCS,NEC,N,Duquesne,N,Undrafted,21,100,1431,9,14.3,68.1,0.4
774,Dwayne Stanford,FBS,Pac-12,Y,Oregon,N,Undrafted,14,43,639,6,14.9,45.6,0.4
775,Dyami Brown,FBS,ACC,Y,North Carolina,Y,12.0,24,106,2133,20,20.1,88.9,0.8
776,Dylan Cantrell,FBS,Big 12,Y,Texas Tech,Y,22.0,23,129,1491,15,11.6,64.8,0.7
777,Dylan Classi,FCS,Ivy League,N,Princeton,N,Undrafted,20,96,1536,7,16.0,76.8,0.4
778,Dylan Collie,FBS,Mountain West,N,Hawaii,N,Undrafted,11,56,636,4,11.4,57.8,0.4
779,Dylan Davis,FCS,OVC,N,UT Martin,N,Undrafted,12,25,299,2,12.0,24.9,0.2
780,Dylan Drummond,FBS,MAC,N,Eastern Mich.,N,Undrafted,13,64,704,6,11.0,54.2,0.5
781,Dymere Miller,FCS,CAA,N,Monmouth,N,Undrafted,20,145,2113,16,14.6,105.6,0.8
782,E.J. Hicks,FCS,MEAC,N,N.C. Central,N,Undrafted,12,33,613,7,18.6,51.1,0.6
783,EJ Jenkins,FCS,NEC,N,Saint Francis (PA),N,Undrafted,12,39,779,13,20.0,64.9,1.1
784,EJ Smoot,FCS,OVC,N,UT Martin,N,Undrafted,11,32,508,3,15.9,46.2,0.3
785,Earl Lucas,FCS,SWAC,N,Alabama St.,N,Undrafted,12,52,517,3,9.9,43.1,0.2
786,Earnest Edwards,FCS,CAA,N,Maine,N,Undrafted,25,102,1936,21,19.0,77.4,0.8
787,Easop Winston Jr.,FBS,Pac-12,Y,Washington St.,N,Undrafted,26,137,1624,19,11.9,62.5,0.7
788,Easton Pedersen,FCS,Big Sky,N,Southern Utah,N,Undrafted,13,35,385,2,11.0,29.6,0.2
789,Ed Eagan,FCS,Southland,N,Northwestern St.,N,Undrafted,35,176,2237,13,12.7,63.9,0.4
790,Ed Lee,FCS,CAA,N,Rhode Island,N,Undrafted,11,56,908,5,16.2,82.5,0.5
791,Ed'Marques Batties,FBS,CUSA,N,Middle Tenn.,N,Undrafted,13,82,1048,13,12.8,80.6,1.0
792,Eddie Lewis,FBS,AAC,N,Memphis,N,Undrafted,13,41,603,7,14.7,46.4,0.5
793,Eddie Poole,FCS,MEAC,N,Bethune-Cookman,N,Undrafted,13,39,682,3,17.5,52.5,0.2
794,Efton Chism III,FCS,Big Sky,N,Eastern Wash.,N,Undrafted,41,226,2547,24,11.3,62.1,0.6
795,Eli Green,FCS,MVFC,N,North Dakota St.,N,Undrafted,15,45,877,3,19.5,58.5,0.2
796,Eli Mirza,FCS,OVC,N,Eastern Ill.,N,Undrafted,11,61,721,3,11.8,65.5,0.3
797,Eli Rogers,FBS,ACC,Y,Louisville,N,Undrafted,26,89,1061,7,11.9,40.8,0.3
798,Elic Ayomanor,FBS,Pac-12,Y,Stanford,N,Undrafted,12,62,1013,6,16.3,84.4,0.5
799,Elijah Bell,FCS,MEAC,N,N.C. A&T,N,Undrafted,47,202,2980,33,14.8,63.4,0.7
800,Elijah Cooks,FBS,Mountain West,N,San Jose St.,N,Undrafted,25,145,2002,18,13.8,80.1,0.7
801,Elijah Higgins,FBS,Pac-12,Y,Stanford,Y,23.0,12,59,704,2,11.9,58.7,0.2
802,Elijah King,FBS,Sun Belt,N,Texas St.,N,Undrafted,12,52,750,3,14.4,62.5,0.2
803,Elijah Marks,FCS,Big Sky,N,Northern Ariz.,N,Undrafted,20,114,1940,13,17.0,97.0,0.6
804,Elijah Metcalf,FBS,CUSA,N,Middle Tenn.,N,Undrafted,12,54,634,5,11.7,52.8,0.4
805,Elijah Moore,FBS,SEC,Y,Ole Miss,Y,6.0,20,153,2043,14,13.4,102.2,0.7
806,Elijah Sarratt,FCS,NEC,N,Saint Francis (PA),N,Undrafted,12,42,699,13,16.6,58.2,1.1
807,Elijah Spencer,FBS,CUSA,N,Charlotte,N,Undrafted,12,57,943,9,16.5,78.6,0.8
808,Elijah Steward,FCS,Patriot,N,Lafayette,N,Undrafted,12,52,738,5,14.2,61.5,0.4
809,Elijhah Badger,FBS,Pac-12,Y,Arizona St.,N,Undrafted,23,135,1579,10,11.7,68.7,0.4
810,Ellis Henderson,FCS,Big Sky,N,Montana,N,Undrafted,26,92,1825,21,19.8,70.2,0.8
811,Emanuel Hall,FBS,SEC,Y,Missouri,N,Undrafted,21,70,1645,14,23.5,78.3,0.7
